case_id,student_id,feedback_date,teacher_name,teacher_feedback,acceptance_score,followup_result
INT-0001,STU-0127,2025-09-27,吴老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0004,STU-0073,2025-09-20,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0006,STU-0071,2025-09-22,徐老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0011,STU-0034,2025-09-30,陈老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0013,STU-0005,2025-10-01,高老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,improved
INT-0014,STU-0007,2025-09-08,赵老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0015,STU-0128,2025-09-12,陈老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0016,STU-0041,2025-10-21,朱老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,improved
INT-0019,STU-0122,2025-09-11,王老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,no_change
INT-0022,STU-0034,2025-09-19,林老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,improved
INT-0024,STU-0053,2025-09-21,周老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,improved
INT-0025,STU-0031,2025-09-11,李老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0030,STU-0052,2025-10-05,王老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,improved
INT-0031,STU-0078,2025-10-24,黄老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0034,STU-0126,2025-09-26,陈老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,improved
INT-0038,STU-0083,2025-10-04,李老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,partial_improved
INT-0041,STU-0127,2025-10-16,杨老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,3,improved
INT-0044,STU-0013,2025-10-20,朱老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,improved
INT-0045,STU-0105,2025-09-18,林老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,improved
INT-0050,STU-0067,2025-10-23,朱老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,no_change
INT-0053,STU-0004,2025-10-23,刘老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,no_change
INT-0054,STU-0137,2025-09-30,陈老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,no_change
INT-0056,STU-0038,2025-10-16,徐老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,improved
INT-0059,STU-0016,2025-10-12,张老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0060,STU-0106,2025-09-12,徐老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,improved
INT-0065,STU-0017,2025-10-07,杨老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,no_change
INT-0066,STU-0052,2025-09-21,陈老师,本次策略可用，但练习包偏难，已改成基础版。,5,partial_improved
INT-0067,STU-0094,2025-09-28,高老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,improved
INT-0068,STU-0095,2025-10-01,杨老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,no_change
INT-0070,STU-0049,2025-10-14,陈老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,improved
INT-0072,STU-0056,2025-09-15,朱老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,no_change
INT-0073,STU-0089,2025-10-19,张老师,本次策略可用，但练习包偏难，已改成基础版。,5,no_change
INT-0074,STU-0105,2025-10-25,刘老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0075,STU-0078,2025-10-17,周老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,partial_improved
INT-0076,STU-0027,2025-09-29,吴老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0077,STU-0094,2025-09-30,杨老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,improved
INT-0078,STU-0101,2025-10-20,陈老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0079,STU-0109,2025-09-30,黄老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0080,STU-0102,2025-10-20,王老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,no_change
INT-0082,STU-0147,2025-10-11,胡老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0084,STU-0012,2025-09-22,陈老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,improved
INT-0085,STU-0010,2025-09-27,李老师,本次策略可用，但练习包偏难，已改成基础版。,3,improved
INT-0088,STU-0137,2025-10-02,赵老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,no_change
INT-0091,STU-0011,2025-10-11,高老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0094,STU-0077,2025-09-13,吴老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,no_change
INT-0100,STU-0109,2025-10-20,吴老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,partial_improved
INT-0106,STU-0072,2025-10-18,吴老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,improved
INT-0108,STU-0120,2025-10-14,张老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0111,STU-0010,2025-09-14,张老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,3,no_change
INT-0115,STU-0104,2025-09-27,赵老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,3,partial_improved
INT-0117,STU-0077,2025-10-20,张老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,partial_improved
INT-0121,STU-0108,2025-09-11,黄老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0123,STU-0059,2025-10-07,胡老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0124,STU-0001,2025-10-07,吴老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0127,STU-0095,2025-09-22,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,improved
INT-0130,STU-0131,2025-09-25,陈老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0131,STU-0111,2025-10-16,林老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0132,STU-0097,2025-09-24,周老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0134,STU-0023,2025-10-15,黄老师,本次策略可用，但练习包偏难，已改成基础版。,4,no_change
INT-0135,STU-0004,2025-10-13,刘老师,本次策略可用，但练习包偏难，已改成基础版。,3,partial_improved
INT-0139,STU-0008,2025-10-15,张老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0140,STU-0123,2025-10-16,吴老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,no_change
INT-0143,STU-0050,2025-09-23,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,partial_improved
INT-0144,STU-0031,2025-10-17,陈老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0145,STU-0103,2025-10-16,刘老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0147,STU-0088,2025-09-18,张老师,本次策略可用，但练习包偏难，已改成基础版。,5,partial_improved
INT-0148,STU-0103,2025-10-01,赵老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0150,STU-0012,2025-10-13,李老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0153,STU-0048,2025-10-20,张老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0154,STU-0028,2025-10-04,徐老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,partial_improved
INT-0155,STU-0032,2025-10-24,张老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,partial_improved
INT-0156,STU-0157,2025-10-18,杨老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0157,STU-0098,2025-09-28,张老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,improved
INT-0158,STU-0138,2025-10-12,刘老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0159,STU-0068,2025-10-24,吴老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0164,STU-0092,2025-10-13,王老师,本次策略可用，但练习包偏难，已改成基础版。,5,partial_improved
INT-0166,STU-0134,2025-09-17,刘老师,本次策略可用，但练习包偏难，已改成基础版。,5,improved
INT-0167,STU-0049,2025-09-21,周老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,partial_improved
INT-0168,STU-0118,2025-09-21,徐老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0170,STU-0020,2025-09-15,杨老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0171,STU-0121,2025-09-29,杨老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0173,STU-0147,2025-09-09,吴老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0174,STU-0067,2025-10-08,黄老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,improved
INT-0177,STU-0143,2025-09-24,赵老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,3,partial_improved
INT-0180,STU-0043,2025-10-01,张老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0185,STU-0112,2025-10-11,吴老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,improved
INT-0186,STU-0140,2025-09-29,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,improved
INT-0187,STU-0110,2025-09-28,周老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0190,STU-0053,2025-10-02,刘老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,partial_improved
INT-0191,STU-0097,2025-09-13,赵老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,improved
INT-0193,STU-0109,2025-09-30,张老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0195,STU-0120,2025-10-12,王老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0198,STU-0061,2025-10-21,吴老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0199,STU-0157,2025-10-05,陈老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,improved
INT-0201,STU-0158,2025-10-05,周老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,partial_improved
INT-0203,STU-0020,2025-09-29,杨老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,no_change
INT-0205,STU-0053,2025-09-28,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,partial_improved
INT-0206,STU-0005,2025-09-28,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0208,STU-0023,2025-10-22,张老师,本次策略可用，但练习包偏难，已改成基础版。,5,improved
INT-0210,STU-0013,2025-10-08,张老师,本次策略可用，但练习包偏难，已改成基础版。,3,improved
INT-0214,STU-0045,2025-09-17,徐老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0218,STU-0142,2025-09-25,赵老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0222,STU-0049,2025-09-20,杨老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0224,STU-0100,2025-10-01,刘老师,本次策略可用，但练习包偏难，已改成基础版。,3,partial_improved
INT-0225,STU-0005,2025-09-14,周老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,3,partial_improved
INT-0227,STU-0136,2025-10-19,张老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,no_change
INT-0228,STU-0108,2025-09-19,朱老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,no_change
INT-0233,STU-0013,2025-09-22,赵老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0235,STU-0017,2025-10-15,吴老师,本次策略可用，但练习包偏难，已改成基础版。,3,partial_improved
INT-0236,STU-0031,2025-09-28,杨老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0238,STU-0028,2025-10-14,吴老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,no_change
INT-0239,STU-0066,2025-10-17,赵老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,partial_improved
INT-0240,STU-0081,2025-09-23,王老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,improved
INT-0241,STU-0084,2025-09-25,李老师,本次策略可用，但练习包偏难，已改成基础版。,3,partial_improved
INT-0245,STU-0144,2025-09-29,黄老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0246,STU-0099,2025-10-12,吴老师,本次策略可用，但练习包偏难，已改成基础版。,5,no_change
INT-0254,STU-0017,2025-09-12,赵老师,本次策略可用，但练习包偏难，已改成基础版。,5,improved
INT-0255,STU-0068,2025-10-02,周老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0256,STU-0136,2025-09-15,刘老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0259,STU-0069,2025-10-09,赵老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0260,STU-0014,2025-10-06,刘老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,improved
INT-0261,STU-0154,2025-10-06,林老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,partial_improved
INT-0263,STU-0001,2025-10-19,孙老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0265,STU-0038,2025-10-23,吴老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0268,STU-0107,2025-10-14,孙老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,improved
INT-0269,STU-0040,2025-09-27,王老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,no_change
INT-0271,STU-0049,2025-09-27,刘老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0272,STU-0136,2025-10-10,刘老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0276,STU-0010,2025-10-06,王老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,improved
INT-0277,STU-0134,2025-10-27,朱老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0278,STU-0058,2025-10-02,王老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,partial_improved
INT-0280,STU-0028,2025-09-21,王老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0281,STU-0154,2025-09-29,刘老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,partial_improved
INT-0282,STU-0024,2025-10-25,刘老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0283,STU-0094,2025-10-08,孙老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,partial_improved
INT-0284,STU-0003,2025-10-04,张老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,partial_improved
INT-0287,STU-0021,2025-09-21,朱老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,no_change
INT-0289,STU-0129,2025-10-25,朱老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0292,STU-0136,2025-10-01,周老师,本次策略可用，但练习包偏难，已改成基础版。,3,improved
INT-0294,STU-0072,2025-10-05,陈老师,本次策略可用，但练习包偏难，已改成基础版。,4,no_change
INT-0295,STU-0097,2025-10-15,张老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,5,improved
INT-0297,STU-0063,2025-09-23,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0298,STU-0003,2025-10-18,徐老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,improved
INT-0299,STU-0041,2025-09-13,高老师,本次策略可用，但练习包偏难，已改成基础版。,5,improved
INT-0301,STU-0112,2025-09-12,陈老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,3,no_change
INT-0303,STU-0030,2025-09-26,周老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,partial_improved
INT-0304,STU-0026,2025-10-07,胡老师,本次策略可用，但练习包偏难，已改成基础版。,3,improved
INT-0306,STU-0093,2025-10-10,周老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0308,STU-0028,2025-10-06,黄老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,no_change
INT-0311,STU-0024,2025-09-22,周老师,本次策略可用，但练习包偏难，已改成基础版。,3,partial_improved
INT-0313,STU-0026,2025-10-13,周老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,partial_improved
INT-0315,STU-0002,2025-09-16,吴老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,no_change
INT-0316,STU-0005,2025-10-18,朱老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,partial_improved
INT-0320,STU-0006,2025-10-22,高老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0322,STU-0054,2025-09-23,吴老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,no_change
INT-0324,STU-0080,2025-10-06,徐老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,3,partial_improved
INT-0326,STU-0109,2025-09-22,李老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,no_change
INT-0329,STU-0147,2025-09-22,朱老师,本次策略可用，但练习包偏难，已改成基础版。,4,no_change
INT-0331,STU-0099,2025-10-09,胡老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,4,no_change
INT-0333,STU-0003,2025-09-20,赵老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,4,no_change
INT-0334,STU-0155,2025-09-25,孙老师,建议保留当前方案，减少讲解长度，增加一次口头复述。,5,improved
INT-0341,STU-0042,2025-10-02,黄老师,本次策略可用，但练习包偏难，已改成基础版。,4,partial_improved
INT-0343,STU-0154,2025-10-14,周老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,no_change
INT-0344,STU-0117,2025-09-22,高老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,partial_improved
INT-0349,STU-0141,2025-09-26,徐老师,本次策略可用，但练习包偏难，已改成基础版。,3,no_change
INT-0350,STU-0150,2025-09-18,陈老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,3,no_change
INT-0352,STU-0058,2025-10-01,周老师,本次策略可用，但练习包偏难，已改成基础版。,4,improved
INT-0354,STU-0005,2025-10-08,林老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,5,no_change
INT-0356,STU-0052,2025-10-21,李老师,补练后课堂能自己定位到报错行，但还需要老师提醒第二步。,3,improved
INT-0357,STU-0081,2025-09-27,朱老师,学生对知识点理解明显稳了，迁移到新题时还需要再观察。,4,partial_improved
INT-0359,STU-0133,2025-09-13,陈老师,本次策略可用，但练习包偏难，已改成基础版。,5,partial_improved
